ID	X1	X2	X6	X8	X9	X10	X11	X13	X14	X15	X16	X17	X18	X19	X20	X22	X23	X25	X27	X30	X31	X32	X33	X34	X35	Kabul
X1	0.315	2.8966	19.53			6.503	0.3	0.15		2.0891	2.3	2	1.5	6.1317	0.4	2.4129					0.0698			40.4664	46.2831	1
X2	0.215	2.6065	5.4187			4		0.15		0.9431	1.32	1.25	1.2	2.4602	0.4	1.0892					0.0558			18.6483	20.8935	0
X3	0.215	2.6065	5.4187			4		0.15		0.9293	1.08	1.25	1.2	2.4242	0.4	1.0733					0.0558			18.3786	20.5878	0
X4	0.32	5.3231	9.6	6		5				1.5812		2.5	2.5	6.6409	0.4			1				0.3		34.5243	40.8452	0
X5	0.85	2.9837	17.3468			4.5				1.662	3.2005	2.5	1.5	6.9804	0.4			0.3291	0.48					35.7521	41.8825	0
X6	0.52	2.9206	13.073			7.6				1.3977		2.5	1.5	7.7781	0.36	3.9766		0.7426						34.5905	41.8486	0
X7	0.505	2.666	12.445			9				1.5286		2.5	3.6	8.0249	0.36	4.2552		0.4012						37.261	44.7809	1
X8	0.57	6.8966	14.33			15				2.4432	3.7523	3.5	3.6	11.8005	0.36	6.7588		1.2621			1.4246			59.8976	71.1281	0
X9	0.29	3.79	13.34		1.2	8.4	0.3			1.8646	2.8	3.5	2	7.8314	0.5			2.3494	0.7		0.7623			41.7963	49.3377	1
X10	0.26	3.64	7.8		4.5	8.5	0.255			1.7859	3	4	2	9.3758	0.5			2.344	0.76		0.7623			40.1072	49.223	1
X11	0.273	1.565	10.374			6.5		1.121		1.576	0.76	2.3	1.5	9.9288	0.6	2.4374	6.8	1.2907						37.0971	46.7529	0
X12	0.215	1.5741	8.17			5		1.1314		1.0465	0.655	2.3	1.5	8.7908	0.6	1.743		0.923						24.858	33.4338	0
X13	0.27	5.241	17.7494		3	16	3		2	3.3186	4.3269	2.5	1.47	24.019	0.4			0.5617	0.48					60.3176	84.0666	1
X14	0.27	2.9831	11.0169		3	16	3		2	3.3995	5.2336	2.5	1.47	20.7856	0.4			0.4808	0.48					52.2339	72.7495	0
X15	0.27	2.9831	18.3615		3	16	1.0881		2	3.7129	4.2336	2.5	1.47	22.7018	0.4			0.5252	0.48					57.0244	79.4562	0
X16	0.27	2.9831	11.0169		3	16	1.0881		2	3.1936	4.2336	2.5	1.47	19.5268	0.4			0.4517	0.48					49.087	68.3438	0
X17	0.41	1.38	14.35			8				2.0286	10.4325	3	2	6.3902	0.5			1.9597	0.91					44.9708	50.951	1
X18	0.55	1.38	22.6502			7.2				1.987	1.2	3.5	2.5	12.5182	0.5			2.7123	0.81					44.9895	56.9577	1
X19	0.3	1.38	17.2569			7.6				2.4814	16.0301	3.5	2.5	10.4217	0.5			3.1265	0.86					55.5349	65.6566	0
X20	0.3	1.48	9.9109			10	0.64			1.9599	9.3664	3.5	2.5	8.2314	0.8			2.4694	1					43.9266	51.858	0
X21	0.345	1.7846	26.6957			3.0625				1.4057		1.8	1	4.0203	0.8	2.2536		0.4057						39.5528	43.2281	1
X22	0.28	1.7846	21.5386			3.5				1.5212		1.8	1	6.3889	0.8	2.1294		0.3833						34.7371	40.846	0
X23	0.23	1.3536	5.6347		1.5	3.63				0.9216	0.4975	1.8	1.5	2.903	0.4			0.6677	1.1656				0.9	20.2007	22.9237	0
X24	0.59	3.48	20.0134		5	13				2.6971	6.8689	2.5	1.65	11.3279	0.5				0.93					57.2294	67.9673	1
X25	0.475	1.51	12.825			15				2.8575	14.8348	3.5	2.8	12.0015	0.85		4.8	3.6004	1.03					64.0827	75.6092	0
X26	0.4	1.38	12.2			8.4			3.5	1.837	4.7	3	2.3	6.5581	0.5			1.3541	0.76					40.3311	46.4892	1
X27	0.21	2.2481	5.796		1.5	4.6				1.0587	0.429	2.5	1.25	4.4464	0.35	1.5113	2.5	0.8003						24.7534	28.9898	0
X28	0.465	1.38	16.275			9.6			3	2.2821	8.0276	3.5	2.5	9.5849	0.5			2.8755	0.86					51.2652	60.3851	0
X29	0.23	1.3536	5.6347		0.9	3.85				0.8726	0.4975	1.8	1.5	2.7487	0.4			0.6322	1.166				0.3	19.1366	21.7053	0
X30	0.21	1.7846	16.7275			4				1.3622	1.4315	1.8	1	5.7212	0.5	1.9069		0.3433						31.066	36.5772	0
X31	0.18	1.7846	12.6993			4				1.0892		1.8	1	4.5746	0.5	1.5247		0.2745						24.8523	29.2469	1
X32	0.22	1.7846	17.5241			4.8				1.3704		1.8	1	5.7558	0.5	1.9184		0.3453						31.2628	36.7986	0
X33	0.6	1.38	19.2		2.75	17			3.5	2.882	6.15	3.8	2.5	15.1305	0.5			3.7826	0.86					64.9046	79.4351	1
X34	0.21	1.1	5.0564		1.8	3.8				0.5355	1.1841	2.5	1.5	2.7579	0.5				0.41					18.596	21.1439	0
X35	0.23	2.5832	11.27			7.5	0.3	0.15		1.6865	3.58	1.65	1.3	4.3996	0.4	1.9479					0.5973			33.1949	37.3645	0
X36	0.89	3.5724	25.7575			6		0.5		2.0065		1.8	2	8.4273	0.5	2.8088		0.5056						46.3408	53.8781	0
X37	0.25	2.8037	17.0484			9			2.3	2.2117	7.3847	2.5	1.5	11.6112	0.4			0.438	0.48		0.3783			46.6948	58.056	0
X38	0.25	2.8037	10.5093			9			2.3	1.8309	6.3847	2.5	1.5	11.5349	0.4			0.3626	0.48		0.3783			38.6995	49.9844	0
X39	0.655	4.448	17.7384		8.3	13.5			2.9	2.8583	6.1792	2	1.5	15.006	0.6			0.7503						61.4292	75.7802	0
X40	0.28	2.8037	19.0942		8.2156	9.506	1.8685			2.2125	5.7487	2.5	3	14.3815	0.4			0.5477	0.48		1.149			57.8059	71.9074	0
X41	0.28	2.8037	11.7704		8.2156	9.506	1.8685			1.9167	5.7487	2.5	3	12.4583	0.4			0.4744	0.48		1.149			50.113	62.2913	0
X42	0.92	1.9537	37.3179			20		0.9325	2.85	3.7069	6.6838	2.3	1.5	19.4612	0.6			2.9192						81.684	100.2252	0
X43	0.59	2.8037	22.4849			10.5	1.401		2.9	2.1701	6.1675	2.5	3	14.1059	0.4			0.5372	0.48		1.079			57.0134	70.5293	0
X44	1.6	10.134	56.6947			25			5.55	5.0739		2	1.5	26.6382	0.6			3.9957						112.1483	137.1865	0
X45	0.77	2.9067	21.175		1	12				2.3801	3.021	2	1.5	12.4957	0.5	3.5394	3.5	1.8744						56.1666	67.8923	0
X46	0.435	3.1037	11.4693			10		1.1656		1.7147	4.1556	2.3	1.5	7.2018	0.6	2.4479		1.2963						40.1881	46.9549	0
X47	0.225	1.8064	18.3582			7				1.5482		1.8	1.5	6.5026	0.5	2.1673		0.3902						35.2953	41.5729	0
X48	1.125	1.8273	36.7164			15				2.9822		4	1.5	12.5252	0.6	4.1746		0.7515						68.677	80.0772	0
X49	0.215	2.4352	6.7725			3.5				0.9623	2.9384	2	1.2	4.0417	0.4			1						21.4234	25.2501	0
X50	0.245	3.2701	7.7175			8.85	0.275			1.3728	2.9429	2	2	8.0719	0.4			1						30.0733	37.9002	0
X51	0.615	1.8799	15.1133			7		8.9592		1.9697	1.8406	2.5	1.5	8.2725	0.6	2.8118		1.4891						46.2786	53.9361	0
X52	0.55	1.8799	15.4			7		12.6592		2.3062	4.585	2.5	1.5	9.6861	0.6	3.2923		1.7435						54.0161	63.1522	0
X53	0.35	3.8545	15.2647			5.5				4.2598	2.6547	2	1	14.0573	0.5			1					11.8238	48.2075	61.9148	0
X54	0.35	4.3545	15.2647			9.5	0.9444			4.8937	1.8	3	1.75	10.7662	0.5			1					11.8238	55.1811	65.5973	0
X55	0.35	2.8893	9.1396		3	9.5	0.5936			3.9435	2.4623	4	1.75	8.6757	0.5			1					5.6	44.7283	53.054	0
X56	0.35	3.0343	9.6694		3.5	8.5			1.5	1.6702	2.2	3	1.5	7.0148	0.5			1						36.4239	43.0887	0
X57	0.33	3.1143	10.0535		8.787	10			0.5944	2.4047	2	3	1.75	8.4965	0.5			1			0.2787			43.8126	51.9791	0
X58	0.34	3.1143	12.0045		1.3935	7.5			1.022	1.5782	1.5	2.5	1.75	6.6282	0.5			1			0.2787			34.4812	40.7694	0
X59	0.23	3.1143	7.4857		1.3935	4.5				1.0747	1.2	1.8	1.5	4.5136	0.5			1						23.7982	28.0818	1
X60	0.6	3.1143	20.2093		2.787	8				2.293	6.5	3	1.75	9.6307	0.5			1						49.7536	58.7843	1
X61	0.19	3.1143	6.3996		2.787	14			3	3.259	19.7653	3	1.75	11.515	0.5			1						58.7652	70.0902	0
X62	0.73	3.1143	18.2337			12			3.6	5.8383	3.179	3	1.75	12.8443	0.5			1					13.006	65.9513	78.0656	0
X63	0.66	6.1143	16.4853			8.5				5.2068	4.5188	3	1.75	11.455	0.5			1					11.2	58.9352	69.7302	0
